Subject,Year,Session,ExamType,PaperNumber,PDF_Link
Pathology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Immunohematology and Blood Transfusion Paper1.pdf
Pathology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Immunohematology and Blood Transfusion Paper2.pdf
Pathology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Immunohematology and Blood Transfusion Paper3.pdf
Pathology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Immunohematology and Blood Transfusion Paper4.pdf
Microbiology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Microbiology Paper1.pdf
Microbiology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Microbiology Paper2.pdf
Microbiology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Microbiology Paper3.pdf
Microbiology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Microbiology Paper4.pdf
Radiology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Nuclear Medicine Paper1.pdf
Radiology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Nuclear Medicine Paper2.pdf
Radiology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Nuclear Medicine Paper3.pdf
Radiology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Nuclear Medicine Paper4.pdf
Obstetrics & Gynecology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Obstetrics and Gynaecology Paper1.pdf
Obstetrics & Gynecology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Obstetrics and Gynaecology Paper2.pdf
Obstetrics & Gynecology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Obstetrics and Gynaecology Paper3.pdf
Obstetrics & Gynecology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Obstetrics and Gynaecology Paper4.pdf
Ophthalmology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Ophthalmology Paper1.pdf
Ophthalmology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Ophthalmology Paper2.pdf
Ophthalmology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Ophthalmology Paper3.pdf
Ophthalmology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Ophthalmology Paper4.pdf
Orthopedics,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Orthopaedics Paper1.pdf
Orthopedics,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Orthopaedics Paper2.pdf
Orthopedics,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Orthopaedics Paper3.pdf
Orthopedics,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Orthopaedics Paper4.pdf
ENT,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Otorhinolaryngology ENT Paper1.pdf
ENT,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Otorhinolaryngology ENT Paper2.pdf
ENT,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Otorhinolaryngology ENT Paper3.pdf
ENT,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Otorhinolaryngology ENT Paper4.pdf
Pediatrics,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Paediatrics Paper1.pdf
Pediatrics,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Paediatrics Paper2.pdf
Pediatrics,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Paediatrics Paper3.pdf
Pediatrics,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Paediatrics Paper4.pdf
General Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Palliative Medicine Paper1.pdf
General Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Palliative Medicine Paper2.pdf
General Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Palliative Medicine Paper3.pdf
General Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Palliative Medicine Paper4.pdf
Pathology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pathology Paper1.pdf
Pathology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pathology Paper2.pdf
Pathology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pathology Paper3.pdf
Pathology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pathology Paper4.pdf
Pharmacology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pharmacology Paper1.pdf
Pharmacology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pharmacology Paper2.pdf
Pharmacology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pharmacology Paper3.pdf
Pharmacology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Pharmacology Paper4.pdf
Orthopedics,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physical Medicine and Rehabilitation Paper 4.pdf
Orthopedics,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physical Medicine and Rehabilitation Paper1.pdf
Orthopedics,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physical Medicine and Rehabilitation Paper2.pdf
Orthopedics,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physical Medicine and Rehabilitation Paper3.pdf
Physiology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physiology Paper1.pdf
Physiology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physiology Paper2.pdf
Physiology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physiology Paper3.pdf
Physiology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Physiology Paper4.pdf
Psychiatry,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Psychiatry Paper1.pdf
Psychiatry,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Psychiatry Paper2.pdf
Psychiatry,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Psychiatry Paper3.pdf
Psychiatry,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Psychiatry Paper4.pdf
